imgID,annID,scID,scale,newWidth,newHeight,pos_label,neg_label
25148,4535,367260,0.262697084,151,126,[],"[[557, 344], [399, 296], [453, 221]]"
131280,454397,352248,0.138889786,22,69,[],"[[224, 409], [61, 381], [341, 82], [162, 125], [219, 245]]"
70491,1638402,137573,0.252910491,161,63,[],"[[266, 65], [186, 68], [412, 228], [202, 191], [555, 31], [346, 187]]"
459440,1106077,126235,0.23889051,56,89,[],"[[401, 224], [33, 135], [53, 314], [459, 266], [467, 65]]"
361527,1115517,211850,0.367482667,235,50,"[[239, 373], [489, 445]]",[]
438904,1629077,126235,0.332629331,166,95,[],"[[302, 306], [103, 199], [363, 172], [122, 90], [230, 72], [132, 310], [307, 267], [392, 140]]"
403317,1107233,526360,0.111078468,47,21,"[[129, 586], [338, 439]]","[[211, 57], [176, 280], [27, 320], [318, 236], [287, 186], [67, 175]]"
170413,323730,46650,0.149725659,36,71,[],"[[404, 199], [266, 439], [427, 374]]"
36260,1072803,202944,0.407438659,260,149,"[[506, 306], [270, 273], [252, 228], [323, 138], [168, 148], [454, 213], [453, 112], [296, 318], [142, 400]]",[]
134288,1051226,131725,0.659009271,198,202,"[[246, 207], [104, 189], [120, 166], [243, 118], [257, 143], [174, 203], [214, 163], [189, 105]]",[]
340327,22242,321314,0.906862619,386,509,[],"[[197, 342], [219, 305], [218, 290], [210, 373], [194, 301], [197, 287], [232, 260], [226, 360], [219, 308]]"
212363,689770,84040,0.131272935,52,63,"[[554, 430], [302, 256], [319, 359], [584, 268], [184, 369], [361, 150], [35, 309], [205, 51]]",[]
35195,37980,118379,0.149443292,94,71,"[[253, 252], [369, 143], [359, 409], [53, 386]]","[[50, 105]]"
249664,312151,421639,0.657099984,409,279,"[[301, 178], [315, 266], [402, 277], [356, 149], [401, 209], [286, 225], [418, 252], [272, 284], [267, 193], [270, 141], [255, 191], [223, 281], [385, 156], [299, 271], [306, 196], [251, 186], [372, 196]]",[]
174284,161130,433136,0.18019981,76,19,[],"[[289, 497]]"
289535,55163,245746,0.125079102,59,51,"[[176, 84], [544, 77]]","[[286, 306], [189, 193], [513, 160], [310, 147], [207, 291]]"
179317,323549,464845,0.254205471,162,104,[],"[[95, 320], [484, 143]]"
142794,148941,60677,0.68275468,416,327,"[[422, 279], [329, 288], [431, 233], [319, 259]]",[]
189813,1106885,526360,0.332629331,142,60,[],"[[296, 101], [186, 492], [170, 55], [246, 391], [84, 371], [157, 493], [122, 73]]"
303944,1185754,104234,0.757506117,389,474,[],"[[293, 367], [232, 378], [271, 306], [270, 398]]"
